nohup: ignoring input
***** Case No.165 *****
BLEU Score: 0.495898
METEOR Score: 0.930264
ROUGE Score: 0.588235
***** Case No.166 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 0.880000
***** Case No.167 *****
BLEU Score: 0.496606
METEOR Score: 0.794383
ROUGE Score: 0.550000
***** Case No.168 *****
BLEU Score: 0.734373
METEOR Score: 0.804739
ROUGE Score: 0.823529
***** Case No.169 *****
BLEU Score: 0.813480
METEOR Score: 0.871491
ROUGE Score: 0.823529
***** Case No.170 *****
BLEU Score: 0.375023
METEOR Score: 0.664894
ROUGE Score: 0.380952
***** Case No.171 *****
BLEU Score: 0.441394
METEOR Score: 0.777345
ROUGE Score: 0.500000
***** Case No.172 *****
BLEU Score: 0.574489
METEOR Score: 0.856518
ROUGE Score: 0.588235
***** Case No.173 *****
BLEU Score: 0.468653
METEOR Score: 0.591313
ROUGE Score: 0.571429
***** Case No.174 *****
BLEU Score: 0.423118
METEOR Score: 0.694270
ROUGE Score: 0.434783
***** Case No.175 *****
BLEU Score: 0.187749
METEOR Score: 0.406855
ROUGE Score: 0.200000
***** Case No.176 *****
BLEU Score: 0.058681
METEOR Score: 0.715561
ROUGE Score: 0.129032
***** Case No.177 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 1.000000
***** Case No.178 *****
BLEU Score: 0.474180
METEOR Score: 0.667017
ROUGE Score: 0.533333
***** Case No.179 *****
BLEU Score: 0.866642
METEOR Score: 0.999852
ROUGE Score: 0.833333
***** Case No.180 *****
BLEU Score: 0.495959
METEOR Score: 0.714855
ROUGE Score: 0.470588
***** Case No.181 *****
BLEU Score: 0.765955
METEOR Score: 0.946630
ROUGE Score: 0.750000
***** Case No.182 *****
BLEU Score: 0.699752
METEOR Score: 0.913910
ROUGE Score: 0.736842
***** Case No.183 *****
BLEU Score: 0.557451
METEOR Score: 0.835492
ROUGE Score: 0.533333
***** Case No.184 *****
BLEU Score: 0.245097
METEOR Score: 0.574948
ROUGE Score: 0.000000
***** Case No.185 *****
BLEU Score: 0.443534
METEOR Score: 0.937216
ROUGE Score: 0.451613
***** Case No.186 *****
BLEU Score: 0.402613
METEOR Score: 0.736036
ROUGE Score: 0.363636
***** Case No.187 *****
BLEU Score: 0.754611
METEOR Score: 0.876779
ROUGE Score: 0.818182
***** Case No.188 *****
BLEU Score: 0.578768
METEOR Score: 0.813848
ROUGE Score: 0.625000
***** Case No.189 *****
BLEU Score: 0.568549
METEOR Score: 0.786316
