nohup: ignoring input
***** Case No.152 *****
BLEU Score: 0.128234
METEOR Score: 0.516427
ROUGE Score: 0.193548
***** Case No.153 *****
BLEU Score: 0.062398
METEOR Score: 0.573980
ROUGE Score: 0.133333
***** Case No.154 *****
BLEU Score: 0.350361
METEOR Score: 0.614059
ROUGE Score: 0.391304
***** Case No.155 *****
BLEU Score: 0.405259
METEOR Score: 0.674459
ROUGE Score: 0.444444
***** Case No.156 *****
BLEU Score: 0.271807
METEOR Score: 0.783874
ROUGE Score: 0.294118
***** Case No.157 *****
BLEU Score: 0.035148
METEOR Score: 0.594667
ROUGE Score: 0.000000
***** Case No.158 *****
BLEU Score: 0.479413
METEOR Score: 0.955988
ROUGE Score: 0.571429
***** Case No.159 *****
BLEU Score: 0.359859
METEOR Score: 0.890798
ROUGE Score: 0.482759
***** Case No.160 *****
BLEU Score: 0.465633
METEOR Score: 0.970504
ROUGE Score: 0.500000
***** Case No.161 *****
BLEU Score: 0.226174
METEOR Score: 0.405644
ROUGE Score: 0.214286
***** Case No.162 *****
BLEU Score: 0.287879
METEOR Score: 0.585938
ROUGE Score: 0.260870
***** Case No.163 *****
BLEU Score: 0.365712
METEOR Score: 0.782199
ROUGE Score: 0.333333
***** Case No.164 *****
BLEU Score: 0.935133
METEOR Score: 0.993668
ROUGE Score: 0.960000
***** Case No.165 *****
BLEU Score: 0.455822
METEOR Score: 0.733240
ROUGE Score: 0.428571
***** Case No.166 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 0.880000
***** Case No.167 *****
BLEU Score: 0.497491
METEOR Score: 0.698584
ROUGE Score: 0.585366
***** Case No.168 *****
BLEU Score: 0.687377
METEOR Score: 0.906950
ROUGE Score: 0.857143
***** Case No.169 *****
BLEU Score: 0.474715
METEOR Score: 0.607639
ROUGE Score: 0.606061
***** Case No.170 *****
BLEU Score: 0.408185
METEOR Score: 0.591971
ROUGE Score: 0.421053
***** Case No.171 *****
BLEU Score: 0.233970
METEOR Score: 0.551394
ROUGE Score: 0.325581
***** Case No.172 *****
BLEU Score: 0.372840
METEOR Score: 0.739712
ROUGE Score: 0.421053
***** Case No.173 *****
BLEU Score: 0.582920
METEOR Score: 0.796748
ROUGE Score: 0.666667
***** Case No.174 *****
BLEU Score: 0.454670
METEOR Score: 0.625000
ROUGE Score: 0.454545
***** Case No.175 *****
BLEU Score: 0.413277
METEOR Score: 0.548085
ROUGE Score: 0.476190
***** Case No.176 *****
BLEU Score: 0.043788
METEOR Score: 0.713368
ROUGE Score: 0.080000
***** Case No.177 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 1.000000
***** Case No.178 *****
BLEU Score: 0.469247
METEOR Score: 0.661458
ROUGE Score: 0.500000
***** Case No.179 *****
BLEU Score: 0.866642
METEOR Score: 0.999852
ROUGE Score: 0.833333
***** Case No.180 *****
BLEU Score: 0.449203
METEOR Score: 0.579380
ROUGE Score: 0.500000
***** Case No.181 *****
BLEU Score: 0.765955
METEOR Score: 0.946630
ROUGE Score: 0.750000
***** Case No.182 *****
BLEU Score: 0.699752
METEOR Score: 0.913910
ROUGE Score: 0.736842
***** Case No.183 *****
BLEU Score: 0.321640
METEOR Score: 0.782242
ROUGE Score: 0.342857
***** Case No.184 *****
BLEU Score: 0.151363
METEOR Score: 0.407801
ROUGE Score: 0.000000
***** Case No.185 *****
BLEU Score: 0.443534
METEOR Score: 0.937216
ROUGE Score: 0.451613
***** Case No.186 *****
BLEU Score: 0.400160
METEOR Score: 0.731129
ROUGE Score: 0.347826
***** Case No.187 *****
BLEU Score: 0.753329
METEOR Score: 0.870895
ROUGE Score: 0.782609
***** Case No.188 *****
BLEU Score: 0.598595
METEOR Score: 0.864818
ROUGE Score: 0.666667
***** Case No.189 *****
BLEU Score: 0.218256
METEOR Score: 0.640121
ROUGE Score: 0.285714
***** Case No.190 *****
BLEU Score: 0.599895
METEOR Score: 0.778275
ROUGE Score: 0.592593
***** Case No.191 *****
BLEU Score: 0.537073
METEOR Score: 0.791517
ROUGE Score: 0.689655
***** Case No.192 *****
BLEU Score: 0.166925
METEOR Score: 0.677130
ROUGE Score: 0.294118
***** Case No.193 *****
BLEU Score: 0.337090
METEOR Score: 0.802139
ROUGE Score: 0.486486
***** Case No.194 *****
BLEU Score: 0.356184
METEOR Score: 0.741674
ROUGE Score: 0.487805
***** Case No.195 *****
BLEU Score: 0.316683
METEOR Score: 0.690966
ROUGE Score: 0.424242
***** Case No.196 *****
BLEU Score: 0.893154
METEOR Score: 0.989604
ROUGE Score: 0.923077
***** Case No.197 *****
BLEU Score: 0.099702
METEOR Score: 0.705645
ROUGE Score: 0.228571
***** Case No.198 *****
BLEU Score: 0.724158
METEOR Score: 0.865089
ROUGE Score: 0.750000
***** Case No.199 *****
BLEU Score: 0.324056
METEOR Score: 0.572867
ROUGE Score: 0.413793
***** Case No.200 *****
BLEU Score: 0.695258
METEOR Score: 0.849480
ROUGE Score: 0.740741
***** Case No.201 *****
BLEU Score: 0.321640
METEOR Score: 0.697314
ROUGE Score: 0.363636
***** Case No.202 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.203 *****
BLEU Score: 0.165039
METEOR Score: 0.561377
ROUGE Score: 0.166667
***** Case No.204 *****
BLEU Score: 0.665438
METEOR Score: 0.875326
ROUGE Score: 0.714286
***** Case No.205 *****
BLEU Score: 0.759084
METEOR Score: 0.915504
ROUGE Score: 0.800000
***** Case No.206 *****
BLEU Score: 0.528706
METEOR Score: 0.917736
ROUGE Score: 0.512821
***** Case No.207 *****
BLEU Score: 0.544518
METEOR Score: 0.850446
ROUGE Score: 0.600000
***** Case No.208 *****
BLEU Score: 0.614646
METEOR Score: 0.835357
ROUGE Score: 0.628571
***** Case No.209 *****
BLEU Score: 0.555457
METEOR Score: 0.726288
ROUGE Score: 0.560000
***** Case No.210 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.211 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.212 *****
BLEU Score: 0.461775
METEOR Score: 0.583348
ROUGE Score: 0.500000
***** Case No.213 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 0.896552
***** Case No.214 *****
BLEU Score: 0.828248
METEOR Score: 0.940257
ROUGE Score: 0.740741
***** Case No.215 *****
BLEU Score: 0.310599
METEOR Score: 0.694444
ROUGE Score: 0.444444
***** Case No.216 *****
BLEU Score: 0.839433
METEOR Score: 0.943676
ROUGE Score: 0.827586
***** Case No.217 *****
BLEU Score: 0.688875
METEOR Score: 0.772130
ROUGE Score: 0.772727
***** Case No.218 *****
BLEU Score: 0.594301
METEOR Score: 0.811984
ROUGE Score: 0.647059
***** Case No.219 *****
BLEU Score: 0.951070
METEOR Score: 0.995207
ROUGE Score: 0.967742
***** Case No.220 *****
BLEU Score: 0.884387
METEOR Score: 0.958018
ROUGE Score: 0.904762
***** Case No.221 *****
BLEU Score: 0.767703
METEOR Score: 0.918324
ROUGE Score: 0.791667
***** Case No.222 *****
BLEU Score: 0.581946
METEOR Score: 0.680240
ROUGE Score: 0.545455
***** Case No.223 *****
BLEU Score: 0.056337
METEOR Score: 0.769817
ROUGE Score: 0.000000
***** Case No.224 *****
BLEU Score: 0.469247
METEOR Score: 0.736111
ROUGE Score: 0.375000
***** Case No.225 *****
BLEU Score: 0.605301
METEOR Score: 0.834637
ROUGE Score: 0.666667
***** Case No.226 *****
BLEU Score: 0.605803
METEOR Score: 0.781257
ROUGE Score: 0.685714
***** Case No.227 *****
BLEU Score: 0.816053
METEOR Score: 0.900807
ROUGE Score: 0.857143
***** Case No.228 *****
BLEU Score: 0.586114
METEOR Score: 0.900413
ROUGE Score: 0.702703
***** Case No.229 *****
BLEU Score: 0.874222
METEOR Score: 0.887442
ROUGE Score: 0.880000
***** Case No.230 *****
BLEU Score: 0.739196
METEOR Score: 0.935319
ROUGE Score: 0.857143
***** Case No.231 *****
BLEU Score: 0.510864
METEOR Score: 0.910743
ROUGE Score: 0.580645
***** Case No.232 *****
BLEU Score: 0.606841
METEOR Score: 0.815759
ROUGE Score: 0.681818
***** Case No.233 *****
BLEU Score: 0.000000
METEOR Score: 0.000000
ROUGE Score: 0.000000
***** Case No.234 *****
BLEU Score: 0.806501
METEOR Score: 0.873724
ROUGE Score: 0.750000
***** Case No.235 *****
BLEU Score: 0.666021
METEOR Score: 0.927982
ROUGE Score: 0.705882
***** Case No.236 *****
BLEU Score: 0.086911
METEOR Score: 0.554734
ROUGE Score: 0.214286
***** Case No.237 *****
BLEU Score: 0.238015
METEOR Score: 0.684377
ROUGE Score: 0.357143
***** Case No.238 *****
BLEU Score: 0.479676
METEOR Score: 0.645114
ROUGE Score: 0.482759
***** Case No.239 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.240 *****
BLEU Score: 0.497886
METEOR Score: 0.842806
ROUGE Score: 0.583333
***** Case No.241 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 1.000000
***** Case No.242 *****
BLEU Score: 0.269424
METEOR Score: 0.703623
ROUGE Score: 0.196078
***** Case No.243 *****
BLEU Score: 0.667279
METEOR Score: 0.938293
ROUGE Score: 0.620690
***** Case No.244 *****
BLEU Score: 0.603161
METEOR Score: 0.881944
ROUGE Score: 0.551724
***** Case No.245 *****
BLEU Score: 0.642273
METEOR Score: 0.933824
ROUGE Score: 0.592593
***** Case No.246 *****
BLEU Score: 0.385386
METEOR Score: 0.774841
ROUGE Score: 0.461538
***** Case No.247 *****
BLEU Score: 0.414174
METEOR Score: 0.944013
ROUGE Score: 0.560000
***** Case No.248 *****
BLEU Score: 0.312767
METEOR Score: 0.737709
ROUGE Score: 0.388889
***** Case No.249 *****
BLEU Score: 0.597238
METEOR Score: 0.915230
ROUGE Score: 0.679245
***** Case No.250 *****
BLEU Score: 0.379948
METEOR Score: 0.696405
ROUGE Score: 0.457143
***** Case No.251 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 0.888889
***** Case No.252 *****
BLEU Score: 0.816053
METEOR Score: 0.955323
ROUGE Score: 0.857143
***** Case No.253 *****
BLEU Score: 0.537451
METEOR Score: 0.742889
ROUGE Score: 0.424242
***** Case No.254 *****
BLEU Score: 0.683601
METEOR Score: 0.734316
ROUGE Score: 0.625000
***** Case No.255 *****
BLEU Score: 0.081934
METEOR Score: 0.383698
ROUGE Score: 0.275862
***** Case No.256 *****
BLEU Score: 0.925391
METEOR Score: 0.992727
ROUGE Score: 0.952381
***** Case No.257 *****
BLEU Score: 0.586724
METEOR Score: 0.665411
ROUGE Score: 0.666667
***** Case No.258 *****
BLEU Score: 0.574099
METEOR Score: 0.615166
ROUGE Score: 0.640000
***** Case No.259 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.260 *****
BLEU Score: 0.404356
METEOR Score: 0.856213
ROUGE Score: 0.400000
***** Case No.261 *****
BLEU Score: 0.251727
METEOR Score: 0.802122
ROUGE Score: 0.300000
***** Case No.262 *****
BLEU Score: 0.325171
METEOR Score: 0.818560
ROUGE Score: 0.439024
***** Case No.263 *****
BLEU Score: 0.450015
METEOR Score: 0.850082
ROUGE Score: 0.400000
***** Case No.264 *****
BLEU Score: 0.945742
METEOR Score: 0.994692
ROUGE Score: 0.967742
***** Case No.265 *****
BLEU Score: 0.258095
METEOR Score: 0.406127
ROUGE Score: 0.357143
***** Case No.266 *****
BLEU Score: 0.371781
METEOR Score: 0.563589
ROUGE Score: 0.444444
***** Case No.267 *****
BLEU Score: 0.040395
METEOR Score: 0.327635
ROUGE Score: 0.100000
***** Case No.268 *****
BLEU Score: 0.757740
METEOR Score: 0.901301
ROUGE Score: 0.777778
***** Case No.269 *****
BLEU Score: 0.627252
METEOR Score: 0.883115
ROUGE Score: 0.625000
***** Case No.270 *****
BLEU Score: 0.912168
METEOR Score: 0.991449
ROUGE Score: 0.941176
***** Case No.271 *****
BLEU Score: 0.709823
METEOR Score: 0.893449
ROUGE Score: 0.705882
***** Case No.272 *****
BLEU Score: 0.442197
METEOR Score: 0.876153
ROUGE Score: 0.516129
***** Case No.273 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.274 *****
BLEU Score: 0.480771
